timestamp,temperature_c,power_w,power_limit_w,memory_used_mib,memory_total_mib,gpu_util_pct,memory_util_pct,sm_clock_mhz,memory_clock_mhz,pstate
2026/09/21 07:15:17.852, 53, 14.20, 170.00, 33, 12288, 0, 0, 210, 405, P8
2026/09/21 07:15:23.191, 53, 14.25, 170.00, 33, 12288, 0, 0, 210, 405, P8
2026/09/21 07:15:28.536, 65, 127.09, 170.00, 7399, 12288, 100, 24, 1830, 7301, P2
2026/09/21 07:15:33.876, 68, 126.79, 170.00, 7399, 12288, 100, 27, 1822, 7301, P2
2026/09/21 07:15:39.219, 71, 127.08, 170.00, 7399, 12288, 100, 27, 1822, 7301, P2
2026/09/21 07:15:44.555, 73, 129.96, 170.00, 7399, 12288, 100, 27, 1822, 7301, P2
2026/09/21 07:15:49.896, 74, 130.85, 170.00, 7399, 12288, 100, 26, 1815, 7301, P2
2026/09/21 07:15:55.238, 75, 133.70, 170.00, 7399, 12288, 100, 25, 1815, 7301, P2
2026/09/21 07:16:00.576, 76, 134.23, 170.00, 7399, 12288, 100, 27, 1815, 7301, P2
2026/09/21 07:16:05.910, 77, 133.91, 170.00, 7399, 12288, 100, 25, 1815, 7301, P2
2026/09/21 07:16:11.248, 77, 124.45, 170.00, 7399, 12288, 100, 24, 1815, 7301, P2
2026/09/21 07:16:16.609, 77, 125.52, 170.00, 7399, 12288, 100, 26, 1815, 7301, P2
2026/09/21 07:16:21.944, 74, 127.10, 170.00, 7399, 12288, 71, 19, 1815, 7301, P2
2026/09/21 07:16:27.292, 78, 133.93, 170.00, 7399, 12288, 100, 27, 1815, 7301, P2
2026/09/21 07:16:32.638, 77, 134.62, 170.00, 7399, 12288, 100, 25, 1815, 7301, P2
2026/09/21 07:16:37.973, 77, 134.36, 170.00, 7399, 12288, 100, 26, 1815, 7301, P2
2026/09/21 07:16:43.315, 78, 130.28, 170.00, 7399, 12288, 100, 24, 1815, 7301, P2
2026/09/21 07:16:48.663, 77, 131.38, 170.00, 7399, 12288, 100, 24, 1815, 7301, P2
2026/09/21 07:16:53.998, 77, 128.68, 170.00, 7399, 12288, 100, 27, 1815, 7301, P2
2026/09/21 07:16:59.348, 77, 125.51, 170.00, 7399, 12288, 99, 24, 1815, 7301, P2
2026/09/21 07:17:04.686, 76, 129.07, 170.00, 7399, 12288, 87, 22, 1815, 7301, P2
